"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"101929202",0.846997067281466,-2.58241429217464,0.515324378303528,-5.01124030009228,5.40803314325321e-07,1.84158195080605e-06,"MKX-AS1"
"101927949",2.15166470855304,3.25478594770765,0.649513209955069,5.01111586003433,5.41153194411021e-07,1.84259743270286e-06,"LOC101927949"
"151790",243.751204976454,1.36814065742242,0.273043194537262,5.01071143611935,5.42291794958917e-07,1.84629801491646e-06,"WDR49"
"100033422",1.62028325984716,-1.69156257291358,0.337674168154572,-5.00945210632535,5.45852080645425e-07,1.85806464259411e-06,"SNORD116-10"
"11166",188.397034170404,1.08176200598452,0.215971687645098,5.00881396899652,5.47664768868819e-07,1.86387914276218e-06,"SOX21"
"112268411",4.21495839409612,3.25761157793721,0.650378703868996,5.0087918908756,5.47727587576682e-07,1.86391504656785e-06,"LOC112268411"
"102724127",1.19396366809862,-2.30581037980682,0.460390319250092,-5.00838154799312,5.48896398282634e-07,1.8677142712556e-06,"TP53TG3F"
"285643",10.5896437666069,-1.01866968966885,0.203396623214237,-5.00829204325524,5.49151660685078e-07,1.86826330688126e-06,"KIF4B"
"4277",31.8734650723827,1.22321855214494,0.244238848812389,5.00828823134749,5.49162534568967e-07,1.86826330688126e-06,"MICB"
"104472717",12.3665007615519,2.45069540146639,0.489440039297453,5.00714123222151,5.52443921519628e-07,1.87870973120255e-06,"LINC01224"
"10406",10.1114063750853,-1.29187923850549,0.258077362257765,-5.00578286760068,5.56354445668165e-07,1.89146720683828e-06,"WFDC2"
"9227",72.7920191330085,2.13604191835849,0.426754221680959,5.00532111889777,5.5768981722315e-07,1.89564568508031e-06,"LRAT"
"374860",42.1679875444278,-3.12686893691063,0.624712999676042,-5.00528873023634,5.5778360072165e-07,1.89578375921979e-06,"ANKRD30B"
"406948",1.17807098798008,2.80077939555086,0.559613226260812,5.00484846340199,5.59059931364611e-07,1.8999406416146e-06,"MIR15A"
"101929286",33.7274560860202,-1.29920776652082,0.259643990892283,-5.0038044865048,5.62097677760323e-07,1.90971829162854e-06,"KCNMA1-AS3"
"100128285",9.34862251406245,-1.42096964540054,0.283989765523881,-5.0035945583435,5.62710441948604e-07,1.91161802037603e-06,"DNM1P35"
"105747689",8.93290921708615,1.90270383820759,0.380292027891836,5.00327037817569,5.63657964287243e-07,1.91447214082132e-06,NA
"100288072",6.7876101317608,-1.58530236219979,0.316868028380807,-5.00303665945937,5.64342037548437e-07,1.91661305323593e-06,"SDR42E2"
"594838",7.25203380878583,1.37219373380847,0.274292700518191,5.00266223350507,5.65439616541878e-07,1.9201577683919e-06,"SNORD100"
"100423028",2.8528556171029,-1.50468149557006,0.300818385151047,-5.00195988624342,5.67504005764459e-07,1.92661774995817e-06,"MIR4254"
"100289650",6.27917065335387,-2.33866245230908,0.467795857083237,-4.99932271074592,5.75320435704142e-07,1.95222444925394e-06,"PSG8-AS1"
"53347",3.26315557483855,3.47143948067964,0.694401241008702,4.99918386614193,5.75734825826404e-07,1.953258861095e-06,"UBASH3A"
"105379219",15.6594144610757,-1.02394648398044,0.204828407678715,-4.99904527689618,5.76148740755205e-07,1.95447717801851e-06,"FAM85B"
"388394",16.6119482906971,-2.6545242860557,0.531025043582638,-4.99886835495848,5.76677558168688e-07,1.95608501134742e-06,"RPRML"
"29931",8.62853350137621,1.40030679312408,0.280156450694849,4.99830287559331,5.78370908438362e-07,1.96164224794674e-06,"LINC00312"
"105376119",0.905341767979613,-3.39830153179905,0.679948564684384,-4.99788029316079,5.79639476680588e-07,1.96575784483402e-06,"LOC105376119"
"54855",75.1569908585087,1.40455065125261,0.281050849679319,4.99749654859685,5.80793779371154e-07,1.96948518185388e-06,"TENT5C"
"105371172",1.49610569271894,-2.12968587022192,0.42619931660677,-4.99692464825527,5.82518167222478e-07,1.97514479824604e-06,"LOC105371172"
"107985135",8.48405962472649,2.05114483746102,0.410586372504729,4.99564762694941,5.86386460941737e-07,1.98750510380975e-06,NA
"107986487",11.3369734014659,-3.56445515875689,0.713682780579728,-4.99445307600314,5.90027346582742e-07,1.99908552770932e-06,"LOC107986487"
"105370022",25.4561845269766,-3.27377034588458,0.655565251842647,-4.99381310507649,5.91986876135045e-07,2.00534359294915e-06,"SRRM4-AS1"
"105372942",4.57197023460927,1.84812033820384,0.370177051678007,4.99253081687894,5.95932013861255e-07,2.01755773419656e-06,"FAM247D"
"89958",213.522589506689,1.62690990487185,0.325880380946492,4.99235302274605,5.96481018779284e-07,2.01922471327789e-06,"SAPCD2"
"7421",32.8507819609501,2.25740106621827,0.45220992728808,4.99193168923997,5.97783988615098e-07,2.02344347736254e-06,"VDR"
"8082",494.898530489872,1.06052137597351,0.212453299247929,4.99178586412961,5.98235590150766e-07,2.02477991123541e-06,"SSPN"
"102723663",42.1074474274543,1.48973457871413,0.298442970786565,4.99168928250461,5.98534871985296e-07,2.02560060121435e-06,"LOC102723663"
"26077",33.2702919468647,-1.32610111671061,0.265684176410197,-4.99126871094953,5.99839799437191e-07,2.02982418370945e-06,"GNAO1-AS1"
"100506795",59.9340564293164,1.44578817426169,0.289684974105541,4.99089805650378,6.00992119789323e-07,2.03353059983749e-06,"LINC01354"
"105369593",2.95713661029528,-2.40297979971003,0.481499658346449,-4.99061579391826,6.01871071301277e-07,2.03611824329793e-06,"IQSEC3-AS2"
"8193",182.327729218624,-1.12586778297121,0.22560090646852,-4.99052863126822,6.02142741716313e-07,2.03665087447631e-06,"DPF1"
"105376592",9.27247751556022,-1.95959906606673,0.39267907656331,-4.99033226627951,6.02755209489931e-07,2.03814249672017e-06,"LINC02718"
"352887",3.07200470373979,-3.42029100397977,0.685399337844726,-4.99021638208035,6.03116937187758e-07,2.0391722745914e-06,"GYG2P1"
"116154",421.236328499065,-1.65044040462136,0.330743844849571,-4.99008652866091,6.03522517827931e-07,2.04035011241411e-06,"PHACTR3"
"8437",198.885928147576,-1.74100823032958,0.348998742565738,-4.9885802382272,6.08246478723316e-07,2.05573589529651e-06,"RASAL1"
"8542",120.035955103674,1.72180473686815,0.34515681642233,4.98847090639917,6.08590744193699e-07,2.05670450511252e-06,"APOL1"
"3447",1.03889790022799,-2.3407504203947,0.469262453709063,-4.98814768131,6.09609618274988e-07,2.05995252418138e-06,"IFNA13"
"401478",5.48328267365379,-1.82883774565955,0.366696867605076,-4.98732851906759,6.12199160410212e-07,2.06831094838732e-06,"LOC401478"
"127343",7.67161035066572,3.79546649799283,0.761182470477841,4.98627680641435,6.15539390990047e-07,2.07939888998722e-06,"DMBX1"
"105376291",2.16007576792319,-2.10481518595255,0.422133922653751,-4.98613135073485,6.16002737465668e-07,2.08037291580886e-06,"LOC105376291"
"1007",110.065132423306,-3.61112800064389,0.724262407438007,-4.98593874755674,6.16616788772858e-07,2.08224949693562e-06,"CDH9"
"100874370",14.2445492497281,-1.42220922992707,0.285309751197915,-4.98479012356118,6.20291064158756e-07,2.09426049497266e-06,"CACNA1C-IT3"
"641455",9.8721609422439,1.28525466562852,0.25786764037474,4.98416421603249,6.2230212151152e-07,2.10085142981168e-06,"POTEM"
"5789",2284.98810248632,-1.31911140578601,0.264711763674623,-4.98319903684912,6.25415589896396e-07,2.11116243238409e-06,"PTPRD"
"5593",56.6390840466236,-2.75927521016435,0.553740042199804,-4.98297937639252,6.26126263464432e-07,2.11316132454492e-06,"PRKG2"
"105376871",7.35500813417132,2.41762309126267,0.485197355528025,4.98276230016062,6.26829340837887e-07,2.11533399207713e-06,"GRHL3-AS1"
"3433",424.189224954544,1.30624614910515,0.262178375140141,4.98228028305894,6.2839324371381e-07,2.1204109643106e-06,"IFIT2"
"145241",6.98062702744021,-1.07104240045425,0.214990785166452,-4.98180607892109,6.29935466773009e-07,2.12541382771554e-06,"ADAM21P1"
"10642",5.76419012878869,5.09737147978315,1.02337644899078,4.98093490895749,6.3277822780547e-07,2.13460141931161e-06,"IGF2BP1"
"2977",2116.66191474085,-1.10602955464694,0.222081862058866,-4.98027864316885,6.34927884811151e-07,2.14124535392147e-06,"GUCY1A2"
"107986775",3.44374192134529,3.57390038532564,0.717630191382925,4.98014217941204,6.35375767084368e-07,2.14255317770483e-06,"LOC107986775"
"105370658",2.92296656813316,-1.96963267739919,0.395510454023803,-4.97997627461106,6.35920686768983e-07,2.14418794347409e-06,"LOC105370658"
"26223",3.3993764689146,-2.45280831982639,0.49276737338714,-4.97761916128191,6.43711529685294e-07,2.16963640345724e-06,"FBXL21P"
"284344",3.22792996180139,-2.0691136665548,0.415806913863529,-4.97614060172625,6.48645396545647e-07,2.18585284831013e-06,"LOC284344"
"102723430",2.51106239228774,-1.42551169552858,0.286487186538763,-4.97583055197374,6.49684627079034e-07,2.18894121330672e-06,"NEPRO-AS1"
"107984198",1.03269299917672,-2.69820239900124,0.542319976128919,-4.97529598349118,6.5148017305463e-07,2.1947834644429e-06,"LOC107984198"
"3781",177.569186766081,-1.65014405511417,0.331718526109096,-4.97453089060052,6.54058343208726e-07,2.2030528496102e-06,"KCNN2"
"80339",24.3286070840177,-1.27168814685923,0.255641156374228,-4.97450475070464,6.54146601545318e-07,2.20314202976067e-06,"PNPLA3"
"101",121.952822819182,1.78517438216062,0.358909229052964,4.97388820808835,6.56231617361594e-07,2.20953823766542e-06,"ADAM8"
"286059",4.47830791151775,2.65785933276253,0.534400937305214,4.97353044731757,6.5744442294507e-07,2.21341277588946e-06,"TNFRSF10B-AS1"
"54988",75.2019875521205,1.54268672588936,0.310185407278565,4.97343424187564,6.57770926822187e-07,2.2140939447309e-06,"ACSM5"
"79100",1.89640632811159,-2.23347189326459,0.449137615119088,-4.97280080331814,6.59924607631005e-07,2.22092407588917e-06,"LINC00626"
"105370525",76.0035018620434,1.45053028354028,0.291816805573366,4.97068796531528,6.67157467937331e-07,2.24484198024582e-06,"PRKCH-AS2"
"105372179",2.05122748007552,-1.95889310358389,0.394133279344896,-4.97012864998318,6.6908491869221e-07,2.25069033115406e-06,"LOC105372179"
"230",2497.10286409466,-1.55425627266081,0.312762713132133,-4.96944235166608,6.71457296690955e-07,2.25845757404258e-06,"ALDOC"
"105378747",29.535650671967,-1.82939017533085,0.368132851456824,-4.96937496366148,6.71690678326665e-07,2.25902948119672e-06,"LOC105378747"
"105378338",3.43014508858295,3.36768397859936,0.677728024958525,4.96907882598694,6.72717204556328e-07,2.26226853210851e-06,NA
"105378450",5.02313315825308,-1.29297921708576,0.260230634151929,-4.96858957939166,6.74416432747684e-07,2.26776897612281e-06,"LOC105378450"
"137735",10.2941923452063,-1.34900525793589,0.271540028077846,-4.96797937116349,6.76541576050479e-07,2.27427154995853e-06,"ABRA"
"158800",3.89312227574314,-1.69723047681612,0.341732424892935,-4.96654795736126,6.81552045934914e-07,2.29089885550373e-06,"RHOXF1"
"50852",2.07993085304368,3.41772664953229,0.688455062052127,4.96434239199989,6.89342389672516e-07,2.3166477820867e-06,"TRAT1"
"105371919",5.422975517072,1.88500765273294,0.379711550852964,4.96431475023228,6.89440566289726e-07,2.3167593850256e-06,"LINC01977"
"570",13.6777637080106,-1.62153201561255,0.326669308845071,-4.9638333682017,6.91152476311811e-07,2.32207436454486e-06,"BAAT"
"101926908",9.43663271425079,-3.26987918452357,0.658760265841867,-4.96368611477319,6.91676962422764e-07,2.32361756759263e-06,"LOC101926908"
"105369351",3.92983944443868,-1.10988416931917,0.223657472487713,-4.96242829257648,6.96172719903057e-07,2.33850030065402e-06,"KLC2-AS2"
"105372127",18.3807165724158,1.05656414466651,0.212950228468725,4.96155440763794,6.99312756065061e-07,2.3488266818574e-06,"TCF4-AS1"
"102724863",3.55330008373776,-3.03275763639742,0.611484909690325,-4.95966063648782,7.06164336853395e-07,2.37116951527232e-06,"LOC102724863"
"81551",463.494777954767,-1.59579080809038,0.321766333490853,-4.95947102600075,7.06853890516568e-07,2.37326143826578e-06,"STMN4"
"407025",2.92297430381506,-1.22943714298997,0.247968997149295,-4.95802764508404,7.12124320695661e-07,2.39050675666076e-06,"MIR29B2"
"105377461",8.55576855835715,-2.64724678069747,0.534005725142944,-4.95733782627302,7.14656510111837e-07,2.39794943544794e-06,NA
"102724672",16.382806967232,-1.24525365432552,0.251194319441167,-4.95733206505562,7.14677694894579e-07,2.39794943544794e-06,"LOC102724672"
"100507661",14.9200466499664,1.37304592390821,0.276978370850608,4.95723156899057,7.1504732998675e-07,2.39896394649802e-06,"LINC02082"
"7200",43.5534352223023,2.93138992395913,0.591358720838462,4.95704184391302,7.15745660944211e-07,2.40108092843561e-06,"TRH"
"84870",24.3008854680146,-2.24890955732727,0.45375446504002,-4.95622573571572,7.18757052425637e-07,2.41072954190164e-06,"RSPO3"
"7991",433.19564519777,-1.75766794595879,0.354715354490554,-4.95515044304517,7.22743462108299e-07,2.42341625376417e-06,"TUSC3"
"677825",14.7699945069075,1.03122019083327,0.208129142009766,4.9547131212643,7.24370821825148e-07,2.42841623637161e-06,"SNORA44"
"114794",373.878966030081,-2.28735560414132,0.461665105048656,-4.95457763458264,7.24875710095516e-07,2.42988041192011e-06,"ELFN2"
"107987049",4.07556520855117,-1.23999810248331,0.250301847607046,-4.95401098448945,7.26990996421883e-07,2.4365130575568e-06,"LOC107987049"
"107985000",28.7507126136805,1.2819332278496,0.258786698301827,4.95362874622892,7.28421236866553e-07,2.44107708924549e-06,"LOC107985000"
"66002",17.2000227479641,2.61362773510038,0.527692139058053,4.95294043941187,7.31003548437996e-07,2.44950070825962e-06,"CYP4F12"
"79993",190.675850747931,-1.4039193614862,0.283473666707317,-4.95255653829648,7.32447654201657e-07,2.45387855588417e-06,"ELOVL7"
"2668",19.7793926164238,2.26927212945636,0.458266543583676,4.95186079199781,7.35071822874219e-07,2.46239471623771e-06,"GDNF"
"107986085",13.1146711229835,1.35742841552607,0.274148682535712,4.95143147495974,7.36695608215231e-07,2.46741480125436e-06,"LINC02019"
"105374973",58.3729922168766,-2.40486850359034,0.485699808440284,-4.95134744094924,7.37013850194278e-07,2.46824886344177e-06,"LOC105374973"
"102723655",1.51887302377111,-2.75606229089055,0.556651217539999,-4.95114751220771,7.37771525144472e-07,2.47055428553403e-06,"LOC102723655"
"105374506",8.4283073388437,-2.21651043808175,0.447755368688754,-4.95027104772139,7.41101949324924e-07,2.48147375708233e-06,"LOC105374506"
"101928716",12.1154329244422,1.44863763681055,0.292680813749738,4.94954765996116,7.43861612219804e-07,2.490246441209e-06,"SUGCT-AS1"
"10326",128.486948419592,-1.03612873973072,0.209390708553763,-4.94830332676719,7.48631814690704e-07,2.50551013720042e-06,"SIRPB1"
"101928887",3.83527421965042,-2.63845296877874,0.533360026336978,-4.94685172958906,7.54233816615273e-07,2.52378510842645e-06,"LINC02671"
"107985410",11.4343983725435,1.3929126340486,0.281635531872863,4.94579865255567,7.58323101983897e-07,2.53651644468115e-06,"LOC107985410"
"728095",5.98063798606086,-2.33810533595274,0.472761942788208,-4.9456293418275,7.58982555454584e-07,2.53848414251646e-06,"SLIT3-AS1"
"400961",377.427825502637,-1.61401465890383,0.326364573455743,-4.94543461569275,7.59741683222312e-07,2.54078480950086e-06,"PAIP2B"
"102724551",39.3375627354533,-2.12861996041756,0.430454576612281,-4.94505129244996,7.61238182763529e-07,2.54555078744818e-06,"LOC102724551"
"100009613",0.596952925036048,-2.65515892568182,0.53700638949845,-4.94437119856556,7.6390027024228e-07,2.55397371431087e-06,"LINC02584"
"200162",64.6545312427995,1.25177449212792,0.25321208140546,4.94358122716702,7.67003709329747e-07,2.56386879215399e-06,"SPAG17"
"107986293",18.4645782227521,-2.20403600014636,0.445847294827186,-4.94347734239514,7.6741272793448e-07,2.56499558329211e-06,"LOC107986293"
"100310756",9.81899865745273,1.70599580253905,0.345106809248341,4.94338493712943,7.67776725602887e-07,2.56573123746593e-06,"LOC100310756"
"105377876",1.08413187073185,-2.34007241117375,0.473401621760579,-4.9431018053361,7.68893058351165e-07,2.56922099520264e-06,"LOC105377876"
"102723989",16.5232252629468,1.36333161916419,0.275823051803652,4.94277621195597,7.70178741629126e-07,2.57303484415352e-06,"FRMD3-AS1"
"100874234",34.0830156925298,-1.44676107045783,0.292739831132259,-4.94213945831029,7.72699103360416e-07,2.581213117174e-06,"CACNA1C-AS4"
